variant,preset,scope,rank,images,accuracy,precision,recall,f1,micro_accuracy,theilU,coverage
torch-tta,north_europe_v3,known,species,50598,0.7540645777225524,0.28991904052186485,0.7540645777225524,0.2798828148296063,0.8432151468437488,0.9444028505698309,1.0
torch-tta,north_europe_v3,known,genus,58640,0.8277669590594472,0.3334921424445981,0.8277669590594472,0.3337289068163522,0.8116132332878582,0.9427305687063423,1.0
torch-tta,north_europe_v3,known,family,58640,0.8346576161414683,0.27245649076352374,0.8346576161414683,0.27776074959879515,0.9469304229195089,0.8781254078254616,1.0
torch-tta,europe_v3,all,species,58640,0.7166090539144668,0.24106168297359762,0.7166090539144668,0.2253220208562535,0.7144270122783083,0.944113343442953,1.0
torch-tta,europe_v3,all,genus,58640,0.8268147188498062,0.2834023411805787,0.8268147188498062,0.2803332160378765,0.8029331514324693,0.9437905591277826,1.0
torch-tta,europe_v3,all,family,58640,0.8335264497898153,0.2678618299824677,0.8335264497898153,0.2729237571963636,0.9449693042291951,0.8721280753438848,1.0
torch-tta,europe_v3,known,species,50598,0.7392686287418017,0.24579080574948112,0.7392686287418017,0.23148434630648257,0.8279773904106882,0.9469432695851171,1.0
torch-tta,europe_v3,known,genus,58640,0.8268147188498062,0.2834023411805787,0.8268147188498062,0.2803332160378765,0.8029331514324693,0.9437905591277826,1.0
torch-tta,europe_v3,known,family,58640,0.8335264497898153,0.2678618299824677,0.8335264497898153,0.2729237571963636,0.9449693042291951,0.8721280753438848,1.0
onnx-tta,north_europe,all,species,58640,0.7398002960321982,0.30560509035336597,0.7398002960321982,0.29443636070255313,0.7319406548431105,0.9406019271139017,1.0
onnx-tta,north_europe,all,genus,58640,0.8304111700220072,0.35093141039439896,0.8304111700220072,0.35360877971608107,0.8158594815825375,0.9419354628293558,1.0
onnx-tta,north_europe,all,family,58640,0.8573137738657032,0.2853888893805401,0.8573137738657032,0.2967466662087087,0.9476978171896316,0.8801548412074369,1.0
onnx-tta,north_europe,known,species,50598,0.7631931907683942,0.31216254534687643,0.7631931907683942,0.30388844140667753,0.8482746353610815,0.9430067345925155,1.0
onnx-tta,north_europe,known,genus,58639,0.832998120707434,0.3509854434880796,0.832998120707434,0.35416090691553337,0.8158733948396119,0.9419484264795018,1.0
onnx-tta,north_europe,known,family,58640,0.8573137738657032,0.2853888893805401,0.8573137738657032,0.2967466662087087,0.9476978171896316,0.8801548412074369,1.0
onnx-tta,europe,all,species,58640,0.7184729389376375,0.24372650581041436,0.7184729389376375,0.22830834852570925,0.715637789904502,0.9443265822955385,1.0
onnx-tta,europe,all,genus,58640,0.8297204053618472,0.2845980888173239,0.8297204053618472,0.28278130491705644,0.8039733969986358,0.9441410149358417,1.0
onnx-tta,europe,all,family,58640,0.8563774763022645,0.26558303107014986,0.8563774763022645,0.27545873472892135,0.9473226466575716,0.8748020450770366,1.0
onnx-tta,europe,known,species,50598,0.741191450840804,0.24838776385935504,0.741191450840804,0.23446467584989356,0.8293806079291671,0.9469465408012699,1.0
onnx-tta,europe,known,genus,58640,0.8297204053618472,0.2845980888173239,0.8297204053618472,0.28278130491705644,0.8039733969986358,0.9441410149358417,1.0
onnx-tta,europe,known,family,58640,0.8563774763022645,0.26558303107014986,0.8563774763022645,0.27545873472892135,0.9473226466575716,0.8748020450770366,1.0
onnx-tta,full,all,species,58640,0.6174475873691395,0.13160765012851372,0.6174475873691395,0.11115707584052233,0.6261425648021828,0.9508514561757678,1.0
onnx-tta,full,all,genus,58640,0.7510220833093467,0.15697625283734776,0.7510220833093467,0.14605018175665105,0.7451568894952251,0.9443370637895987,1.0
onnx-tta,full,all,family,58640,0.8145187008621275,0.2126777336514247,0.8145187008621275,0.21830567803410023,0.9275238744884038,0.8446531494151259,1.0
onnx-tta,full,known,species,50598,0.6369716217523534,0.13589123854540153,0.6369716217523534,0.11511288629482906,0.7256610933238468,0.9550252355096324,1.0
onnx-tta,full,known,genus,58640,0.7510220833093467,0.15697625283734776,0.7510220833093467,0.14605018175665105,0.7451568894952251,0.9443370637895987,1.0
onnx-tta,full,known,family,58640,0.8145187008621275,0.2126777336514247,0.8145187008621275,0.21830567803410023,0.9275238744884038,0.8446531494151259,1.0
