model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
torch-tta,optimized,genus,10,per_model,3429,561730,546343,568939,0.9727299411711976,0.9749187044499045,0.9691224108929244,0.946350886524944,0.9567459154446961
torch-tta,optimized,genus,10,common,3399,561375,546001,568939,0.9727299411711976,0.9750657062256015,0.969389941537953,0.9466740165053914,0.9570462433877086
onnx-tta,optimized,genus,10,per_model,3429,561730,546244,568939,0.9725401141422895,0.9750748967756228,0.9692801960108036,0.9462848043513266,0.9567847024096895
onnx-tta,optimized,genus,10,common,3399,561375,545902,568939,0.9725401141422895,0.9751938567065922,0.9695491192870581,0.9466073510822276,0.9570853726913163
v2,optimized,genus,20,per_model,2744,551057,529652,568939,0.9626550473776626,0.9744155465355695,0.9644172200469284,0.9346448055336697,0.9481401135118747
v2,optimized,genus,20,common,2718,550466,528977,568939,0.9626550473776626,0.9751246579562103,0.9660046083551682,0.9356240006265886,0.9494673272983457
torch,optimized,genus,20,per_model,2765,551534,540646,568939,0.9804073898959291,0.9859898736016124,0.9831207620917415,0.9651332754412042,0.973745902522698
torch,optimized,genus,20,common,2718,550466,539612,568939,0.9804073898959291,0.986426765336266,0.9837622659851191,0.9659565896782382,0.9744900650585153
onnx,optimized,genus,20,per_model,2765,551534,540545,568939,0.9802122898939957,0.9860515868629824,0.9831907018461258,0.9649737261528443,0.9736958816120121
onnx,optimized,genus,20,common,2718,550466,539512,568939,0.9802122898939957,0.9865090020445816,0.9838374142507886,0.9658089981468492,0.974448877687717
torch-tta,optimized,genus,20,per_model,2746,551117,535951,568939,0.9727299411711976,0.9766830689435503,0.9727816384005233,0.9485632489700034,0.959941393384285
torch-tta,optimized,genus,20,common,2718,550466,535325,568939,0.9727299411711976,0.977064542064375,0.973306888624378,0.9491793130959524,0.9605169357740369
onnx-tta,optimized,genus,20,per_model,2745,551095,535834,568939,0.9725401141422895,0.9767764438699172,0.972898378196236,0.9484647219147074,0.9599463383428157
onnx-tta,optimized,genus,20,common,2718,550466,535228,568939,0.9725401141422895,0.9771848509403817,0.9734489057083235,0.9490820082537109,0.9605342527571652
v2,optimized,family,-1,per_model,104,568939,560532,568939,0.985223371925637,0.9886094792660989,0.9786092510915618,0.9509273853934727,0.9637305558575113
torch,optimized,family,-1,per_model,104,568939,563145,568939,0.9898161314306103,0.9948948540363234,0.9928704939132356,0.9735711206973268,0.9828384466133122
onnx,optimized,family,-1,per_model,104,568939,563126,568939,0.9897827359347838,0.994899624212835,0.9928702233945721,0.9735459402580976,0.9828257658861518
torch-tta,optimized,family,-1,per_model,104,568939,555940,568939,0.9771522078816886,0.9884734442452687,0.9837783443784444,0.951186192254207,0.966613846478881
onnx-tta,optimized,family,-1,per_model,104,568939,555880,568939,0.977046748421184,0.9884830018540828,0.9837869141498093,0.9509704435277845,0.9665038797027707
v2,optimized,family,5,per_model,101,568926,560519,568939,0.985223371925637,0.9882711469670721,0.979624047328605,0.9519450305041699,0.9649677628014595
v2,optimized,family,5,common,101,568926,560519,568939,0.985223371925637,0.9882711469670721,0.979624047328605,0.9519450305041699,0.9649677628014595
torch,optimized,family,5,per_model,101,568926,563132,568939,0.9898161314306103,0.9947432160374022,0.992658726405708,0.9727861044804157,0.9823286975028166
torch,optimized,family,5,common,101,568926,563132,568939,0.9898161314306103,0.9947432160374022,0.992658726405708,0.9727861044804157,0.9823286975028166
onnx,optimized,family,5,per_model,101,568926,563113,568939,0.9897827359347838,0.994748127902325,0.9926584478518367,0.9727601761073481,0.9823156401203942
onnx,optimized,family,5,common,101,568926,563113,568939,0.9897827359347838,0.994748127902325,0.9926584478518367,0.9727601761073481,0.9823156401203942
torch-tta,optimized,family,5,per_model,101,568926,555926,568939,0.9771522078816886,0.9881310713020588,0.9849466780398504,0.9497362771726487,0.9665222685615121
torch-tta,optimized,family,5,common,101,568926,555926,568939,0.9771522078816886,0.9881310713020588,0.9849466780398504,0.9497362771726487,0.9665222685615121
onnx-tta,optimized,family,5,per_model,101,568926,555866,568939,0.977046748421184,0.9881409128002436,0.9849555023588796,0.9495141200682138,0.9664090354455174
onnx-tta,optimized,family,5,common,101,568926,555866,568939,0.977046748421184,0.9881409128002436,0.9849555023588796,0.9495141200682138,0.9664090354455174
v2,optimized,family,10,per_model,98,568894,560492,568939,0.985223371925637,0.9906950318000157,0.979000293675399,0.955086411050422,0.9664392220697487
v2,optimized,family,10,common,98,568894,560492,568939,0.985223371925637,0.9906950318000157,0.979000293675399,0.955086411050422,0.9664392220697487
torch,optimized,family,10,per_model,99,568905,563115,568939,0.9898161314306103,0.9956471193916931,0.9925104178482475,0.9758839157942737,0.9840088800005394
torch,optimized,family,10,common,98,568894,563104,568939,0.9898161314306103,0.9956027022426288,0.9924339935405765,0.9756378333023785,0.9838457053066675
onnx,optimized,family,10,per_model,99,568905,563096,568939,0.9897827359347838,0.9956521304862104,0.9925101336670252,0.9758574636156896,0.9839955588326134
onnx,optimized,family,10,common,98,568894,563085,568939,0.9897827359347838,0.9956077644707635,0.9924337064595459,0.9756111112036048,0.9838322482084564
torch-tta,optimized,family,10,per_model,99,568905,555909,568939,0.9771522078816886,0.9908501767114873,0.9846425705255039,0.9523684354095822,0.9678831292624407
torch-tta,optimized,family,10,common,98,568894,555898,568939,0.9771522078816886,0.990756811167727,0.9854135058462651,0.9528100428209972,0.968483049876436
