model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
onnx-tta,optimized,species,5,per_model,293,44256,32979,52788,0.7404902629385466,0.9624875420542846,0.9631846488302392,0.7304548441650828,0.8110548032550082
onnx-tta,optimized,species,5,common,272,42778,32341,52788,0.7404902629385466,0.9650388599694326,0.9639006969879437,0.7443741514376615,0.8223569195026884
v2,optimized,species,10,per_model,243,42227,30743,52788,0.6973175721754944,0.953448505161714,0.9544450850263946,0.7134225852923751,0.7961537592407802
v2,optimized,species,10,common,237,42021,30611,52788,0.6973175721754944,0.9552371110145412,0.9586140054758544,0.7164050701636104,0.8009004286169518
torch,optimized,species,10,per_model,255,43584,31151,52788,0.7081344244904145,0.963686280781054,0.9676952538780558,0.7171112436175308,0.8061491380093965
torch,optimized,species,10,common,237,42021,30528,52788,0.7081344244904145,0.9673296490095744,0.9672615516732053,0.7266753942187194,0.8138865890143704
onnx,optimized,species,10,per_model,255,43584,31014,52788,0.7045351216185497,0.9644807475606031,0.9677553930474767,0.7146917879143063,0.8044523205064158
onnx,optimized,species,10,common,237,42021,30399,52788,0.7045351216185497,0.9681978678690395,0.9673496769410929,0.7245547988604122,0.8124276972685942
torch-tta,optimized,species,10,per_model,268,43942,34313,52788,0.7831893612184587,0.9555513324900085,0.9634422815056631,0.7666899243764238,0.8398127135942168
torch-tta,optimized,species,10,common,237,42021,33322,52788,0.7831893612184587,0.9625685565215116,0.9646515680804645,0.7845362115505334,0.8537896748755334
onnx-tta,optimized,species,10,per_model,263,43846,32662,52788,0.7404902629385466,0.961629373180915,0.9681806145232889,0.7372508842609241,0.820284716224131
onnx-tta,optimized,species,10,common,237,42021,31861,52788,0.7404902629385466,0.9683141861823075,0.9697003821520682,0.7555690214239896,0.8356173638868799
v2,optimized,species,20,per_model,190,40924,29917,52788,0.6973175721754944,0.9610844376490718,0.9546242144015308,0.720024084306013,0.8034606105897979
v2,optimized,species,20,common,180,40455,29626,52788,0.6973175721754944,0.9646484348350589,0.9605971055104869,0.7264566019960785,0.811036699937377
torch,optimized,species,20,per_model,194,41945,30249,52788,0.7081344244904145,0.9726536166037543,0.9673028973830733,0.7249718216154226,0.8139613934096738
torch,optimized,species,20,common,180,40455,29545,52788,0.7081344244904145,0.9744003816755382,0.9682799478546156,0.7355230038915617,0.8220522350709073
onnx,optimized,species,20,per_model,193,41892,30094,52788,0.7045351216185497,0.9730113961424189,0.9672414097720884,0.7241073248627131,0.8134845543532355
onnx,optimized,species,20,common,180,40455,29417,52788,0.7045351216185497,0.9749535854270197,0.9683959794573341,0.7328357084727255,0.8202403740616804
torch-tta,optimized,species,20,per_model,205,42565,33383,52788,0.7831893612184587,0.9591300853526652,0.9604484571118049,0.7699762479855812,0.842013462392941
torch-tta,optimized,species,20,common,180,40455,32213,52788,0.7831893612184587,0.9705268255352514,0.9657886526261308,0.7926309175203593,0.8597488311609114
onnx-tta,optimized,species,20,per_model,198,42291,31709,52788,0.7404902629385466,0.9719038952762132,0.9695617529783702,0.7466077391820205,0.8288133411410782
onnx-tta,optimized,species,20,common,180,40455,30826,52788,0.7404902629385466,0.976210705701146,0.9704033057734652,0.7637449348360044,0.8420413480097139
v2,optimized,genus,0,per_model,297,51713,34407,52788,0.6981321512464954,0.9730202662706766,0.9354090897454787,0.6696547903717441,0.7488929063874894
v2,optimized,genus,0,common,290,47277,34382,52788,0.6981321512464954,0.9760968718601971,0.9441948263945075,0.6789075236695378,0.758894188886813
torch,optimized,genus,0,per_model,305,52764,36639,52788,0.7575395923315905,0.9675728610989023,0.9311163097974926,0.7162235431527392,0.7854650195910905
torch,optimized,genus,0,common,290,47277,36222,52788,0.7575395923315905,0.9717947278556177,0.9457657053357997,0.7357875537389513,0.8055286746347516
onnx,optimized,genus,0,per_model,305,52764,36471,52788,0.7536561339698417,0.9679659039694104,0.9324066587585462,0.7121688160928734,0.7826452771316182
onnx,optimized,genus,0,common,290,47277,36061,52788,0.7536561339698417,0.9724093229520842,0.9471708404892052,0.7319329372281088,0.8029757834023304
torch-tta,optimized,genus,0,per_model,305,48338,37668,52788,0.7772978707281958,0.9755532044276723,0.9505668112244134,0.7423366594133708,0.8117050275966146
torch-tta,optimized,genus,0,common,290,47277,37209,52788,0.7772978707281958,0.9767057765407489,0.9614821443720363,0.7575794509648353,0.8276206040656773
onnx-tta,optimized,genus,0,per_model,305,48338,37653,52788,0.7768621656437069,0.9757794309698761,0.950805459732764,0.7423421426731508,0.8117369598871598
onnx-tta,optimized,genus,0,common,290,47277,37196,52788,0.7768621656437069,0.9769436862054228,0.9615032517112784,0.7575932745608045,0.8276086187401221
v2,optimized,genus,5,per_model,221,51350,34216,52788,0.6981321512464954,0.9716616552337888,0.9644034675161717,0.6868834008659555,0.7807696866753265
v2,optimized,genus,5,common,215,46868,34160,52788,0.6981321512464954,0.9754975181801082,0.96822735165948,0.6927141276824689,0.787485243584438
torch,optimized,genus,5,per_model,226,47997,36422,52788,0.7575395923315905,0.970284104556389,0.9654305304648698,0.7349949980804276,0.8198300630906831
torch,optimized,genus,5,common,215,46868,35966,52788,0.7575395923315905,0.9730526458225819,0.9696226974149172,0.7475533077376153,0.8310650157210921
onnx,optimized,genus,5,per_model,226,47997,36257,52788,0.7536561339698417,0.9708040563009604,0.9665082137972658,0.7310313579815346,0.8173152189160264
onnx,optimized,genus,5,common,215,46868,35808,52788,0.7536561339698417,0.9738759173936625,0.9708203215753252,0.7439396812388471,0.8289781701827876
torch-tta,optimized,genus,5,per_model,228,48014,37467,52788,0.7772978707281958,0.9739289484518205,0.9704707099468884,0.7536090100054875,0.8347586230965691
torch-tta,optimized,genus,5,common,215,46868,36949,52788,0.7772978707281958,0.9771086466542604,0.9775547270341164,0.767268013502815,0.8477428518527237
onnx-tta,optimized,genus,5,per_model,228,48014,37452,52788,0.7768621656437069,0.9742276071763961,0.970789954662006,0.7536163450679126,0.8348013395378685
onnx-tta,optimized,genus,5,common,215,46868,36936,52788,0.7768621656437069,0.9774284415058453,0.9775831973986752,0.7672866592834245,0.8477266855996489
v2,optimized,genus,10,per_model,197,50958,34025,52788,0.6981321512464954,0.9707426742420079,0.9676850759993277,0.7030299586868274,0.7949775034079529
v2,optimized,genus,10,common,192,46467,33937,52788,0.6981321512464954,0.9752941088049124,0.9772224666409167,0.7109088798148795,0.8054635075619047
