environment_id,variant,device,trial,preset,batch_size,images_per_second,seconds,peak_host_rss_mib
j-12402286-job-0,torch-tta,cuda:0,trial-0-torch-tta-cuda-0,north_europe,256,146.1398414161973,"[1.7028252279851586, 1.7517468030564487, 1.688165568979457, 1.6661955381277949, 1.7871254589408636, 2.218830683035776, 2.1324612388852984]",13732.86328125
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,full,1,35.532385252582785,"[0.03191231586970389, 0.028284823056310415, 0.028143340023234487, 0.027871930971741676, 0.02781070815399289, 0.027790748979896307, 0.028204301139339805]",11555.5859375
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,north_europe,1,36.771653484791806,"[0.026865995954722166, 0.027348933974280953, 0.027257435023784637, 0.02724255295470357, 0.027194860856980085, 0.027023043017834425, 0.027147690067067742]",11555.5859375
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,full,8,105.27877679395911,"[0.07678151899017394, 0.07287920103408396, 0.08103566593490541, 0.07533648214302957, 0.07598872482776642, 0.07834966108202934, 0.07468052417971194]",11555.5859375
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,north_europe,8,109.99565276327142,"[0.07799976388923824, 0.08511138521134853, 0.07269248994998634, 0.08088010200299323, 0.07137880194932222, 0.07246160204522312, 0.07273014704696834]",11555.5859375
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,full,32,128.75608088994497,"[0.25812575104646385, 0.2496226339135319, 0.2479465790092945, 0.24618305289186537, 0.2497298049274832, 0.24853195110335946, 0.24478664994239807]",11555.5859375
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,north_europe,32,128.09036729403115,"[0.25169501500204206, 0.250091538997367, 0.24174840305931866, 0.26207018201239407, 0.240036133909598, 0.24713967298157513, 0.24982362589798868]",11555.5859375
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,full,256,130.43032693926654,"[2.0292546290438622, 1.944513760972768, 1.9627337139099836, 1.9228567408863455, 1.972897453000769, 1.9226515630725771, 1.9808490499854088]",11555.5859375
j-12402286-job-0,onnx-tta,cuda:0,trial-0-onnx-tta-cuda-0,north_europe,256,122.26377819115693,"[1.9955810110550374, 2.071103529073298, 2.103893836028874, 2.0938335440587252, 2.0483566790353507, 2.1093847670126706, 2.221062398981303]",11555.5859375
j-12402286-job-0,onnx-tta,cpu,trial-1-onnx-tta-cpu,full,1,6.75596119134303,"[0.14646412897855043, 0.1483337450772524, 0.1580319299828261, 0.1475024321116507, 0.1476692531723529, 0.1480174281168729, 0.14868402178399265]",3397.5078125
j-12402286-job-0,onnx-tta,cpu,trial-1-onnx-tta-cpu,north_europe,1,6.822651158921427,"[0.14547044201754034, 0.14632983691990376, 0.14671937306411564, 0.15039914404042065, 0.1462649789173156, 0.14657058916054666, 0.1586985040921718]",3397.5078125
j-12402286-job-0,onnx-tta,cpu,trial-1-onnx-tta-cpu,full,8,11.63371514486247,"[0.6962012129370123, 0.6839959709905088, 0.6876565138809383, 0.6862769259605557, 0.6919130848255008, 0.7119086098391563, 0.6861587781459093]",3397.5078125
j-12402286-job-0,onnx-tta,cpu,trial-1-onnx-tta-cpu,north_europe,8,12.23551158111812,"[0.6762029870878905, 0.6538345329463482, 0.6545771821402013, 0.6430737329646945, 0.6487431330606341, 0.6449008660856634, 0.6622776610311121]",3397.5078125
j-12402286-job-0,torch-tta,cpu,trial-1-torch-tta-cpu,full,1,6.353911302672763,"[0.15525876404717565, 0.15712836012244225, 0.1568535859696567, 0.15738337417133152, 0.16014939080923796, 0.1585964011028409, 0.16081210877746344]",4187.859375
j-12402286-job-0,torch-tta,cpu,trial-1-torch-tta-cpu,north_europe,1,6.4244713318004605,"[0.15356798795983195, 0.16920459899120033, 0.1559280229266733, 0.15602170280180871, 0.15537062310613692, 0.15565483109094203, 0.15532190003432333]",4187.859375
j-12402286-job-0,torch-tta,cpu,trial-1-torch-tta-cpu,full,8,9.365779609516762,"[0.899784438079223, 0.908878515008837, 0.8541734199970961, 0.8452214368153363, 0.8457925170660019, 0.8704305361025035, 0.8485985330771655]",4187.859375
j-12402286-job-0,torch-tta,cpu,trial-1-torch-tta-cpu,north_europe,8,10.925273754071165,"[0.7698587840422988, 0.7589555780868977, 0.7167077970225364, 0.7322470978833735, 0.7229400761425495, 0.739312743069604, 0.7238768371753395]",4187.859375
j-12402286-job-0,onnx,cpu,trial-1-onnx-cpu,full,1,25.31768884347062,"[0.03936560498550534, 0.03948273207060993, 0.03973217704333365, 0.039527239045128226, 0.03957147593609989, 0.03948797006160021, 0.039498076075688004]",2511.6328125
