model,scope,rank,threshold,report_images,coverage,full_accuracy,full_precision,full_recall,full_f1,full_micro_accuracy,full_theilU,tail_accuracy,tail_precision,tail_recall,tail_f1,tail_classes,tail_truth_images,tail_accepted_predictions
torch:rotation30_pad15_3,coverage_80,species,0.7864558100700378,52788,0.7999924225202698,0.8681525695853197,0.7256230124848712,0.6516322902727562,0.5638804990406792,0.8320625147999052,0.9506821380005821,0.964118819588285,0.9638007386543088,0.7943988204601052,0.857186007121519,282,43436,35175
torch:rotation30_pad15_3,coverage_80,genus,0.8991661667823792,52788,0.7999924225202698,0.9690887320773804,0.8392267277587339,0.7280547849656653,0.6932378251822574,0.9128107980108927,0.9530656934912801,0.9788034405604307,0.9793962322786787,0.7879772281995084,0.8606213313448622,220,47497,38462
torch:rotation30_pad15_3,coverage_80,family,0.9839562773704528,52788,0.7999924225202698,0.9893177583735553,0.8092924516803065,0.715811313718187,0.6613289841826895,0.9990054463651432,0.904888479697919,0.9876310886430639,0.9921524313351724,0.7754153149867931,0.8671339416025601,19,52770,42219
torch:rotation30_pad15_3,coverage_90,species,0.4981422424316406,52788,0.8999962112601348,0.8275277881335519,0.5698267633908097,0.7148264203986453,0.49048063270161796,0.8008798332947441,0.9506821380005821,0.9332526939814978,0.939363112800583,0.8425608778485374,0.8754335683136774,295,44256,38822
torch:rotation30_pad15_3,coverage_90,genus,0.5704049468040466,52788,0.8999962112601348,0.9323397607229976,0.6453578889070587,0.8030574959232933,0.5914681212088754,0.8852848933886212,0.9530656934912801,0.9539446830499735,0.9493471909350284,0.8504964110432653,0.8858621014410463,231,48032,42567
torch:rotation30_pad15_3,coverage_90,family,0.8255183696746826,52788,0.8999962112601348,0.9662851300685152,0.6620438247654835,0.8161730537339364,0.6181949611573065,0.9956218821696942,0.904888479697919,0.9806985716582809,0.9658983715348495,0.8624928869086922,0.9082064719768487,19,52770,47456
torch:rotation30_pad25_3,zero,species,0.0,52788,1.0,0.7493898333756177,0.3361085016262147,0.7493898333756177,0.3201483357303684,0.7508714101689778,0.9512236692214211,0.8695966338189322,0.8832470040020461,0.8695966338189322,0.8611832508395522,308,44643,41703
torch:rotation30_pad25_3,zero,genus,0.0,52788,1.0,0.8472767012256567,0.3871858468468912,0.8472767012256567,0.38731172619778687,0.8324808668636812,0.9537143645936615,0.8812527981807469,0.8646719138069031,0.8812527981807469,0.855181947419072,242,52567,45974
torch:rotation30_pad25_3,zero,family,0.0,52788,1.0,0.86366836103727,0.3473357735776554,0.86366836103727,0.35919021330288153,0.9622830946427219,0.9062358679592668,0.8932186151928605,0.8280730113019039,0.8932186151928605,0.8505612212541583,20,52783,52402
torch:rotation30_pad25_3,optimized,species,0.7562050521373749,52788,0.8116049102068652,0.8633843418309688,0.7190416496691577,0.6588299780195079,0.566106644915547,0.8300772588287468,0.9512236692214211,0.963817038901828,0.961489880265137,0.8035377762915177,0.8618349502484031,272,42778,35185
torch:rotation30_pad25_3,optimized,genus,0.7952321171760559,52788,0.8432030006819732,0.95774560113418,0.7891877764219916,0.7626880651777854,0.6776129515770067,0.9032149356338882,0.9537143645936615,0.9754640055183043,0.9744657384691411,0.8284961369731623,0.8857838500606222,215,46868,39827
torch:rotation30_pad25_3,optimized,family,0.9765909910202026,52788,0.8209441539743881,0.9892254689058468,0.8402573230856973,0.7546408071160894,0.7073928412638566,0.9988231493446557,0.9062358679592668,0.9875242271541385,0.9919310736962174,0.7961036491000434,0.8802424586381118,19,52770,43325
torch:rotation30_pad25_3,coverage_70,species,0.9330438375473022,52788,0.6999886337804047,0.8958773246343307,0.8488359655175162,0.575642556980122,0.5778389555534205,0.8523720602960677,0.9512236692214211,0.977274427695301,0.9759679510257172,0.7245807100491324,0.810278348194081,270,42705,31144
torch:rotation30_pad25_3,coverage_70,genus,0.9808310866355896,52788,0.6999886337804047,0.9766589295185959,0.9346999594698736,0.6367137848251249,0.68706311679764,0.928012773673243,0.9537143645936615,0.9871863309136562,0.9865580047875915,0.7144975277360381,0.8109127926788642,210,46789,34055
torch:rotation30_pad25_3,coverage_70,family,0.9974275231361388,52788,0.6999886337804047,0.9934599375766446,0.9498878737701825,0.6454812993243774,0.7241944754879999,0.9994858055262374,0.9062358679592668,0.992427296141378,0.9919695314060105,0.6902789817732341,0.8073158286865963,19,52770,36945
torch:rotation30_pad25_3,coverage_80,species,0.7825590372085571,52788,0.7999924225202698,0.8685831581947409,0.7408341935752873,0.6520466646970331,0.5728841408568456,0.8331754676770069,0.9512236692214211,0.9653788722710366,0.9636915943413662,0.7956290746750607,0.8575515862096464,282,43436,35239
torch:rotation30_pad25_3,coverage_80,genus,0.9008587002754213,52788,0.7999924225202698,0.9684925893463145,0.8495310596183734,0.7285668935695543,0.6990184834220075,0.9127397584655458,0.9537143645936615,0.9788881421171708,0.9794636846683936,0.7901320143472512,0.8618171291762662,220,47497,38506
torch:rotation30_pad25_3,coverage_80,family,0.9850324392318726,52788,0.7999924225202698,0.989354070043887,0.9107072776433661,0.7405947769417649,0.7559779769818279,0.9991001657589391,0.9062358679592668,0.9876731337350272,0.9924723507074099,0.7791005599416505,0.8697078644497735,19,52770,42222
torch:rotation30_pad25_3,coverage_90,species,0.5055776238441467,52788,0.8999962112601348,0.8259918976166272,0.5745198109152063,0.713123054577747,0.492042775668204,0.8011534656591383,0.9512236692214211,0.9350519930314937,0.9387344030835514,0.8431093052722285,0.8753944002330876,295,44256,38826
torch:rotation30_pad25_3,coverage_90,genus,0.5816248059272766,52788,0.8999962112601348,0.9275599703862233,0.6663984622722228,0.8037295174574243,0.6076394789666649,0.885305942032036,0.9537143645936615,0.9576218533224137,0.9504064753538914,0.8531971719555743,0.8879077068258153,231,48032,42580
