model,scope,threshold,family_id,family,truth_images,accepted_predictions,precision,precision_weight,recall,recall_weight,f1,f1_weight
onnx,zero,0,4865,Blastobasidae,0,19,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4867,Bucculatricidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,zero,0,4870,Choreutidae,0,15,0.0,1.0,,0,0.0,1.0
onnx,zero,0,5320,Douglasiidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,zero,0,5336,Pyralidae,365,559,0.6010733452593918,1.0,0.9205479452054794,1.0,0.7272727272727273,1.0
onnx,zero,0,5340,Sesiidae,0,5,0.0,1.0,,0,0.0,1.0
onnx,zero,0,5343,Tortricidae,632,1308,0.46559633027522934,1.0,0.9636075949367089,1.0,0.6278350515463917,1.0
onnx,zero,0,5345,Ypsolophidae,46,49,0.8571428571428571,1.0,0.9130434782608695,1.0,0.8842105263157894,1.0
onnx,zero,0,5474,Limacodidae,475,383,0.9608355091383812,1.0,0.7747368421052632,1.0,0.8578088578088578,1.0
onnx,zero,0,5481,Pieridae,0,5,0.0,1.0,,0,0.0,1.0
onnx,zero,0,5487,Gracillariidae,0,23,0.0,1.0,,0,0.0,1.0
onnx,zero,0,6166,Opostegidae,0,30,0.0,1.0,,0,0.0,1.0
onnx,zero,0,6946,Eriocraniidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,zero,0,6950,Geometridae,15047,14855,0.9778525748906092,1.0,0.9653751578387718,1.0,0.9715738077720553,1.0
onnx,zero,0,6954,Epermeniidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,zero,0,7014,Nepticulidae,0,4,0.0,1.0,,0,0.0,1.0
onnx,zero,0,7015,Noctuidae,9243,9171,0.9243266819321775,1.0,0.9171264740884995,1.0,0.9207125013576627,1.0
onnx,zero,0,7016,Notodontidae,3321,3215,0.9517884914463453,1.0,0.9214092140921409,1.0,0.9363525091799266,1.0
onnx,zero,0,7017,Nymphalidae,0,6,0.0,1.0,,0,0.0,1.0
onnx,zero,0,7294,Drepanidae,1604,1414,0.9759547383309759,1.0,0.8603491271820449,1.0,0.9145129224652088,1.0
onnx,zero,0,7297,Elachistidae,0,23,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8838,Coleophoridae,0,118,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8839,Cosmopterigidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8840,Cossidae,0,28,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8841,Crambidae,4542,4312,0.9554730983302412,1.0,0.9070893879348305,1.0,0.9306528122882314,1.0
onnx,zero,0,8855,Momphidae,0,3,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8860,Plutellidae,14,31,0.3870967741935484,1.0,0.8571428571428571,1.0,0.5333333333333333,1.0
onnx,zero,0,8861,Psychidae,0,42,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8863,Pterophoridae,79,82,0.8780487804878049,1.0,0.9113924050632911,1.0,0.8944099378881988,1.0
onnx,zero,0,8864,Saturniidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8865,Schreckensteiniidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8866,Scythrididae,0,4,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8868,Sphingidae,1124,1021,0.9794319294809011,1.0,0.8896797153024911,1.0,0.9324009324009326,1.0
onnx,zero,0,8871,Tischeriidae,0,53,0.0,1.0,,0,0.0,1.0
onnx,zero,0,8874,Yponomeutidae,13,39,0.15384615384615385,1.0,0.46153846153846156,1.0,0.23076923076923078,1.0
onnx,zero,0,9408,Micropterigidae,0,2,0.0,1.0,,0,0.0,1.0
onnx,zero,0,9410,Lyonetiidae,0,4,0.0,1.0,,0,0.0,1.0
onnx,zero,0,9412,Tineidae,0,117,0.0,1.0,,0,0.0,1.0
onnx,zero,0,9541689,Meessiidae,0,1,0.0,1.0,,0,0.0,1.0
onnx,zero,0,9689,Oecophoridae,32,49,0.3877551020408163,1.0,0.59375,1.0,0.4691358024691358,1.0
onnx,zero,0,9717,Nolidae,191,191,0.9214659685863874,1.0,0.9214659685863874,1.0,0.9214659685863874,1.0
onnx,optimized,0.9698503911495209,3528,Incurvariidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,3530,Lasiocampidae,728,376,1.0,1.0,0.5164835164835165,1.0,0.6811594202898551,1.0
onnx,optimized,0.9698503911495209,3552,Ethmiidae,48,41,1.0,1.0,0.8541666666666666,1.0,0.9213483146067415,1.0
onnx,optimized,0.9698503911495209,3553,Gelechiidae,2,0,1.0,0.0,0.0,1.0,0.0,1.0
onnx,optimized,0.9698503911495209,3554,Glyphipterigidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,3556,Hepialidae,14,12,1.0,1.0,0.8571428571428571,1.0,0.9230769230769229,1.0
onnx,optimized,0.9698503911495209,3563,Endromidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4300664,Autostichidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4300668,Peleopodidae,24,18,0.9444444444444444,1.0,0.7083333333333334,1.0,0.8095238095238095,1.0
onnx,optimized,0.9698503911495209,4525436,Praydidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4525465,Argyresthiidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4527533,Stathmopodidae,2,1,1.0,1.0,0.5,1.0,0.6666666666666666,1.0
onnx,optimized,0.9698503911495209,4528997,Lypusidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4532185,Erebidae,15241,11389,0.9992975678286066,1.0,0.7467357784922249,1.0,0.8547502816372513,1.0
onnx,optimized,0.9698503911495209,4538,Adelidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4542,Alucitidae,1,1,1.0,1.0,1.0,1.0,1.0,1.0
onnx,optimized,0.9698503911495209,4554,Batrachedridae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4705755,Depressariidae,0,0,1.0,0.0,,0,1.0,0.0
onnx,optimized,0.9698503911495209,4864,Bedelliidae,0,21,0.0,1.0,,0,0.0,1.0
onnx,optimized,0.9698503911495209,4865,Blastobasidae,0,0,1.0,0.0,,0,1.0,0.0
