model,scope,rank,cutoff,domain,class_count,truth_images_in_retained_classes,accepted_predictions_in_retained_classes,report_images,overall_coverage,accuracy,precision,recall,f1
torch-tta,zero,family,5,per_model,20,58635,57922,58640,1.0,0.8857527347000319,0.7937586704683698,0.8857527347000319,0.8201893161560646
torch-tta,zero,family,5,common,20,58635,57922,58640,1.0,0.8857527347000319,0.7937586704683698,0.8857527347000319,0.8201893161560646
onnx-tta,zero,family,5,per_model,20,58635,57922,58640,1.0,0.8859108399455587,0.7936666681416203,0.8859108399455587,0.8202399986261261
onnx-tta,zero,family,5,common,20,58635,57922,58640,1.0,0.8859108399455587,0.7936666681416203,0.8859108399455587,0.8202399986261261
v2,zero,family,10,per_model,20,58635,58035,58640,1.0,0.8706311696935296,0.8042967720810082,0.8706311696935296,0.8222431727219648
v2,zero,family,10,common,20,58635,58035,58640,1.0,0.8706311696935296,0.8042967720810082,0.8706311696935296,0.8222431727219648
torch,zero,family,10,per_model,20,58635,57625,58640,1.0,0.8570862790810952,0.7593871181201356,0.8570862790810952,0.7830056774706758
torch,zero,family,10,common,20,58635,57625,58640,1.0,0.8570862790810952,0.7593871181201356,0.8570862790810952,0.7830056774706758
onnx,zero,family,10,per_model,20,58635,57629,58640,1.0,0.8572378870132431,0.7602412562853618,0.8572378870132431,0.7839741871519881
onnx,zero,family,10,common,20,58635,57629,58640,1.0,0.8572378870132431,0.7602412562853618,0.8572378870132431,0.7839741871519881
torch-tta,zero,family,10,per_model,20,58635,57922,58640,1.0,0.8857527347000319,0.7937586704683698,0.8857527347000319,0.8201893161560646
torch-tta,zero,family,10,common,20,58635,57922,58640,1.0,0.8857527347000319,0.7937586704683698,0.8857527347000319,0.8201893161560646
onnx-tta,zero,family,10,per_model,20,58635,57922,58640,1.0,0.8859108399455587,0.7936666681416203,0.8859108399455587,0.8202399986261261
onnx-tta,zero,family,10,common,20,58635,57922,58640,1.0,0.8859108399455587,0.7936666681416203,0.8859108399455587,0.8202399986261261
v2,zero,family,20,per_model,17,58591,57945,58640,1.0,0.8805744853537323,0.8603318425866534,0.8805744853537323,0.8641945097882205
v2,zero,family,20,common,17,58591,57945,58640,1.0,0.8805744853537323,0.8603318425866534,0.8805744853537323,0.8641945097882205
torch,zero,family,20,per_model,17,58591,57498,58640,1.0,0.8772443619441458,0.8454930600394824,0.8772443619441458,0.8513978587998544
torch,zero,family,20,common,17,58591,57498,58640,1.0,0.8772443619441458,0.8454930600394824,0.8772443619441458,0.8513978587998544
onnx,zero,family,20,per_model,17,58591,57505,58640,1.0,0.8774227242172608,0.8454826219027971,0.8774227242172608,0.8514947560248236
onnx,zero,family,20,common,17,58591,57505,58640,1.0,0.8774227242172608,0.8454826219027971,0.8774227242172608,0.8514947560248236
torch-tta,zero,family,20,per_model,17,58591,57813,58640,1.0,0.903126466593875,0.8742034082733955,0.903126466593875,0.8819814890011932
torch-tta,zero,family,20,common,17,58591,57813,58640,1.0,0.903126466593875,0.8742034082733955,0.903126466593875,0.8819814890011932
onnx-tta,zero,family,20,per_model,17,58591,57813,58640,1.0,0.903312472765083,0.8740951702419255,0.903312472765083,0.8820411154365596
onnx-tta,zero,family,20,common,17,58591,57813,58640,1.0,0.903312472765083,0.8740951702419255,0.903312472765083,0.8820411154365596
